Title,Poem,Poet,Tags,Cluster
Objects Used to Prop Open a Window,"Dog bone, stapler,\n\ncribbage board, garlic press\n\n     because this window is loose—lacks\n\nsuction, lacks grip.\n\nBungee cord, bootstrap,\n\ndog leash, leather belt\n\n     because this window had sash cords.\n\nThey frayed. They broke.\n\nFeather duster, thatch of straw, empty\n\nbottle of Elmer's glue\n\n     because this window is loud—its hinges clack\n\nopen, clack shut.\n\nStuffed bear, baby blanket,\n\nsingle crib newel\n\n     because this window is split. It's dividing\n\nin two.\n\nVelvet moss, sagebrush,\n\nwillow branch, robin's wing\n\n     because this window, it's pane-less. It's only\n\na frame of air.",Michelle Menting,,1
The New Church,"The old cupola glinted above the clouds, shone\n\namong fir trees, but it took him an hour\n\nfor the half mile all the way up the hill. As he trailed,\n\nthe village passed him by, greeted him,\n\nasked about his health, but everybody hurried\n\nto catch the mass, left him leaning against fences,\n\nmeasuring the road with the walking stick he sculpted.\n\nHe yearned for the day when the new church\n\nwould be built—right across the road. Now\n\nit rises above the moon: saints in frescoes\n\nmeet the eye, and only the rain has started to cut\n\nthrough the shingles on the roof of his empty\n\nhouse. The apple trees have taken over the sky,\n\nsequestered the gate, sidled over the porch.",Lucia Cherciu,,0
Look for Me,"Look for me under the hood\n\nof that old Chevrolet settled in weeds\n\nat the end of the pasture.\n\nI'm the radiator that spent its years\n\nbolted in front of an engine\n\nshoving me forward into the wind.\n\nWhatever was in me in those days\n\nhas mostly leaked away,\n\nbut my cap's still screwed on tight\n\nand I know the names of all these\n\ntattered moths and broken grasshoppers\n\nthe rest of you've forgotten.",Ted Kooser,,0
Wild Life,"Behind the silo, the Mother Rabbit\n\nhunches like a giant spider with strange calm:\n\nsix tiny babies beneath, each\n\nclamoring for a sweet syringe of milk.\n\nThis may sound cute to you, reading\n\nfrom your pulpit of plenty,\n\nbut one small one was left out of reach,\n\na knife of fur\n\nbarging between the others.\n\nI watched behind a turret of sand. If\n\nI could have cautioned the mother rabbit\n\nI would. If I could summon the\n\nBunnies to fit him in beneath\n\nthe belly's swell\n\nI would. But instead, I stood frozen, wishing\n\nfor some equity. This must be\n\nwhy it's called Wild Life because of all the\n\ncrazed emotions tangled up in\n\nthe underbrush within us.\n\nDid I tell you how\n\nthe smallest one, black and trembling,\n\nhopped behind the kudzu\n\nstill filigreed with wanting?\n\nShould we talk now of animal heritage, their species,\n\ncreature development? And what do we say\n\nabout form and focus—\n\nwriting this when a stray goes hungry, and away.",Grace Cavalieri,,0
Umbrella,"When I push your button\n\nyou fly off the handle,\n\nold skin and bones,\n\nblack bat wing.\n\nWe're alike, you and I.\n\nBoth of us\n\nresemble my mother,\n\nso fierce in her advocacy\n\non behalf of\n\nthe most vulnerable child\n\nwho'll catch his death\n\nin this tempest.\n\nSuch a headwind!\n\nSometimes it requires\n\nall my strength\n\njust to end a line.\n\nBut when the wind is at\n\nmy back, we're likely\n\nto get carried away, and say\n\nsomething we can never retract,\n\nsomething saturated from the ribs\n\ndown, an old stony\n\nword like ruin. You're what roof\n\nI have, frail thing,\n\nyou're my argument\n\nagainst the whole sky.\n\nYou're the fundamental difference\n\nbetween wet and dry.",Connie Wanek,,9
Sunday,"You are the start of the week\n\nor the end of it, and according\n\nto The Beatles you creep in\n\nlike a nun. You're the second\n\nfull day the kids have been\n\naway with their father, the second\n\nfull day of an empty house.\n\nSunday, I've missed you. I've been\n\nsitting in the backyard with a glass\n\nof Pinot waiting for your arrival.\n\nDid you know the first Sweet 100s\n\nare turning red in the garden,\n\nbut the lettuce has grown\n\ntoo bitter to eat. I am looking\n\nup at the bluest sky I have ever seen,\n\ncerulean blue, a heaven sky\n\nno one would believe I was under.\n\nYou are my witness. No day\n\nis promised. You are absolution.\n\nYou are my unwritten to-do list,\n\nmy dishes in the sink, my brownie\n\nbreakfast, my braless day.",January Gill O'Neil,,9
Invisible Fish,"Invisible fish swim this ghost ocean now described by waves of sand, by water-worn rock. Soon the fish will learn to walk. Then humans will come ashore and paint dreams on the dying stone. Then later, much later, the ocean floor will be punctuated by Chevy trucks, carrying the dreamers’ decendants, who are going to the store.",Joy Harjo,"Living,Time & Brevity,Relationships,Family & Ancestors,Nature,Landscapes & Pastorals,Seas, Rivers, & Streams,Social Commentaries,History & Politics",1
Don’t Bother the Earth Spirit,"Don’t bother the earth spirit who lives here. She is working on a story. It is the oldest story in the world and it is delicate, changing. If she sees you watching she will invite you in for coffee, give you warm bread, and you will be obligated to stay and listen. But this is no ordinary story. You will have to endure earthquakes, lightning, the deaths of all those you love, the most blinding beauty. It’s a story so compelling you may never want to leave; this is how she traps you. See that stone finger over there? That is the only one who ever escaped.",Joy Harjo,"Religion,The Spiritual,Mythology & Folklore,Fairy-tales & Legends",4
The One Thing That Can Save America,"Is anything central?\n\nOrchards flung out on the land,\n\nUrban forests, rustic plantations, knee-high hills?\n\nAre place names central?\n\nElm Grove, Adcock Corner, Story Book Farm?\n\nAs they concur with a rush at eye level\n\nBeating themselves into eyes which have had enough\n\nThank you, no more thank you.\n\nAnd they come on like scenery mingled with darkness\n\nThe damp plains, overgrown suburbs,\n\nPlaces of known civic pride, of civil obscurity.\n\n \n\nThese are connected to my version of America\n\nBut the juice is elsewhere.\n\nThis morning as I walked out of your room\n\nAfter breakfast crosshatched with\n\nBackward and forward glances, backward into light,\n\nForward into unfamiliar light,\n\nWas it our doing, and was it\n\nThe material, the lumber of life, or of lives\n\nWe were measuring, counting?\n\nA mood soon to be forgotten\n\nIn crossed girders of light, cool downtown shadow\n\nIn this morning that has seized us again?\n\n \n\nI know that I braid too much on my own\n\nSnapped-off perceptions of things as they come to me.\n\nThey are private and always will be.\n\nWhere then are the private turns of event\n\nDestined to bloom later like golden chimes\n\nReleased over a city from a highest tower?\n\nThe quirky things that happen to me, and I tell you,\n\nAnd you know instantly what I mean?\n\nWhat remote orchard reached by winding roads\n\nHides them? Where are these roots?\n\n \n\nIt is the lumps and trials\n\nThat tell us whether we shall be known\n\nAnd whether our fate can be exemplary, like a star.\n\nAll the rest is waiting\n\nFor a letter that never arrives,\n\nDay after day, the exasperation\n\nUntil finally you have ripped it open not knowing what it is,\n\nThe two envelope halves lying on a plate.\n\nThe message was wise, and seemingly\n\nDictated a long time ago, but its time has still\n\nNot arrived, telling of danger, and the mostly limited\n\nSteps that can be taken against danger\n\nNow and in the future, in cool yards,\n\nIn quiet small houses in the country,\n\nOur country, in fenced areas, in cool shady streets.",John Ashbery,,0
"[""Hour in which I consider hydrangea""]","Hour in which I consider hydrangea, a salt or sand plant, varietal, the question of varietals, the diet of every mother I know, 5 pounds feels like 20, I have lost … I have lost, yes, a sense of my own possible beauty, grown external, I externalize beauty. Beauty occurs on the surface of plants; the sun darkens the skin of my child, he is so small, he is beautiful (I can see; it is obvious) and everything about him is beautiful. His hand swells from the bite [spread?] of some insect[’s] venom because he is small. He appears to feel nothing. He smashes his skull against the floor. He screams. I hold him in my lap on the kitchen floor in front of an open freezer, pressing a pack of frozen clay against his forehead. He likes the cold. I see; it is so obvious. Hydrangea. When I move, when I walk pushing my child’s stroller (it is both walking and pushing or hauling, sometimes, also, lifting; it is having another body, an adjunct body composed of errand and weight and tenderness and no small amount of power), I imagine I can feel this small amount of weight, this 5 pounds like 20, interfering with the twitch of every muscle in my body. As an object, a mother is confusing, a middle-aged mother with little spare flesh, I feel every inch of major muscle pulling against gravity and against the weight of my child, now sleeping. This is the hour for thinking hydrangea. Let no man look at me. I stop to brush the drowsy child’s little eye. His face. He barely considers his mother. I am all around him. Why should he consider what is all around him? Perhaps what is missing is a subtle power of differentiation. I am in, therefore, a time of mass apprehensions.",Simone White,"Living,Parenthood,The Body,The Mind,Nature,Trees & Flowers",7
